                  time           dsDNA left-edge     dsDNA right-edge
                   1                  157                  266
                   2                  156                  267
                   3                  155                  267
                   4                  155                  266
                   5                  155                  266
                   6                  155                  265
                   7                  155                  264
                   8                  155                  264
                   9                  154                  264
                  10                  154                  264
                  11                  154                  264
                  12                  153                  264
                  13                  153                  264
                  14                  152                  264
                  15                  152                  263
                  16                  152                  263
                  17                  153                  263
                  18                  152                  262
                  19                  152                  262
                  20                  152                  262
                  21                  152                  263
                  22                  153                  264
                  23                  153                  264
                  24                  153                  263
                  25                  153                  264
                  26                  153                  264
                  27                  153                  265
                  28                  153                  264
                  29                  152                  264
                  30                  153                  263
                  31                  152                  263
                  32                  152                  263
                  33                  152                  263
                  34                  152                  263
                  35                  152                  263
                  36                  151                  262
                  37                  151                  261
                  38                  150                  260
                  39                  150                  260
                  40                  149                  260
                  41                  149                  260
                  42                  149                  260
                  43                  149                  260
                  44                  149                  260
                  45                  149                  260
                  46                  149                  260
                  47                  150                  259
                  48                  150                  259
                  49                  150                  259
                  50                  150                  259
                  51                  150                  259
                  52                  149                  259
                  53                  148                  258
                  54                  149                  258
                  55                  149                  259
                  56                  150                  259
                  57                  150                  260
                  58                  149                  259
                  59                  148                  259
                  60                  147                  259
                  61                  147                  258
                  62                  148                  257
                  63                  147                  256
                  64                  147                  256
                  65                  146                  256
                  66                  146                  257
                  67                  147                  257
                  68                  147                  258
                  69                  148                  258
                  70                  148                  259
                  71                  148                  258
                  72                  147                  258
                  73                  145                  257
                  74                  144                  257
                  75                  144                  257
                  76                  145                  256
                  77                  145                  256
                  78                  145                  255
                  79                  144                  255
                  80                  144                  255
                  81                  144                  255
                  82                  145                  255
                  83                  145                  255
                  84                  145                  255
                  85                  144                  254
                  86                  144                  254
                  87                  144                  253
                  88                  143                  252
                  89                  143                  252
                  90                  143                  252
                  91                  143                  251
                  92                  142                  251
                  93                  141                  250
                  94                  140                  250
                  95                  140                  250
                  96                  140                  251
                  97                  141                  251
                  98                  141                  250
                  99                  141                  249
                 100                  140                  249
                 101                  140                  249
                 102                  140                  249
                 103                  140                  250
                 104                  140                  251
                 105                  140                  251
                 106                  141                  251
                 107                  142                  251
                 108                  142                  251
                 109                  142                  252
                 110                  142                  252
                 111                  142                  253
                 112                  142                  253
                 113                  142                  253
                 114                  142                  253
                 115                  142                  253
                 116                  142                  253
                 117                  142                  253
                 118                  141                  252
                 119                  141                  252
                 120                  140                  252
                 121                  140                  251
                 122                  140                  251
                 123                  139                  251
                 124                  139                  251
                 125                  140                  251
                 126                  140                  250
                 127                  141                  249
                 128                  141                  249
                 129                  141                  249
                 130                  141                  250
                 131                  141                  250
                 132                  141                  251
                 133                  141                  251
                 134                  141                  250
                 135                  140                  250
                 136                  140                  250
                 137                  139                  250
                 138                  139                  250
                 139                  138                  250
                 140                  138                  249
                 141                  138                  248
                 142                  138                  247
                 143                  138                  247
                 144                  139                  247
                 145                  138                  247
                 146                  138                  247
                 147                  137                  246
                 148                  137                  246
                 149                  137                  246
                 150                  137                  246
                 151                  137                  246
                 152                  137                  246
                 153                  137                  247
                 154                  137                  247
                 155                  137                  247
                 156                  137                  247
                 157                  138                  246
                 158                  138                  247
                 159                  138                  247
                 160                  137                  247
                 161                  136                  246
                 162                  136                  246
                 163                  136                  245
                 164                  135                  245
                 165                  135                  245
                 166                  135                  245
                 167                  136                  246
                 168                  137                  246
                 169                  137                  247
                 170                  137                  247
                 171                  137                  246
                 172                  137                  246
                 173                  137                  247
                 174                  136                  247
