                time           Hairpin left-edge   Hairpin right-edge
                 174                  136                  169
                 175                  136                  168
                 176                  135                  167
                 177                  134                  163
                 178                  133                  160
                 179                  131                  157
                 180                  130                  153
                 181                  129                  151
                 182                  129                  149
                 183                  129                  147
                 184                  128                  144
                 185                  125                  137
                 186                  124                  135
                 187                  123                  132
