                time           Hairpin left-edge   Hairpin right-edge
                 174                  169                  247
                 175                  170                  248
                 176                  172                  248
                 177                  173                  248
                 178                  174                  248
                 179                  175                  249
                 180                  179                  250
                 181                  180                  250
                 182                  181                  251
                 183                  181                  251
                 184                  182                  251
                 185                  183                  251
                 186                  184                  251
                 187                  184                  252
                 188                  184                  252
                 189                  184                  252
                 190                  185                  252
                 191                  185                  252
                 192                  186                  253
                 193                  185                  253
                 194                  186                  253
                 195                  186                  252
                 196                  187                  252
                 197                  187                  252
                 198                  188                  252
                 199                  188                  252
                 200                  189                  252
                 201                  189                  252
                 202                  190                  252
                 203                  191                  252
                 204                  191                  252
                 205                  192                  252
                 206                  192                  252
                 207                  193                  253
                 208                  195                  253
                 209                  197                  252
                 210                  198                  252
                 211                  199                  251
                 212                  201                  252
                 213                  201                  251
                 214                  201                  252
                 215                  201                  251
                 216                  202                  252
                 217                  203                  252
                 218                  204                  252
                 219                  204                  252
                 220                  204                  252
                 221                  205                  252
                 222                  206                  253
                 223                  209                  253
                 224                  211                  254
                 225                  211                  254
                 226                  212                  254
                 227                  212                  254
                 228                  213                  254
                 229                  217                  255
                 230                  219                  255
                 231                  221                  256
                 232                  224                  257
                 233                  224                  256
                 234                  223                  256
                 235                  223                  255
                 236                  224                  256
                 237                  225                  257
                 238                  225                  258
                 239                  226                  259
                 240                  227                  259
                 241                  228                  259
                 242                  229                  259
                 243                  230                  260
                 244                  231                  260
                 245                  234                  260
                 246                  236                  261
                 247                  238                  261
                 248                  240                  261
                 249                  243                  261
                 250                  251                  264
                 251                  252                  266
                 252                  258                  265
